Case,Total victims,Location,Prior signs of possible mental illness,Type,cloud,Injured,Type of weapons,Mental Health Sources,latitude,Weapon details,Gender,Venue,Summary,tokens,Date,Race,Weapons obtained legally,Mental Health,longitude,Sources,Fatalities,Year,Where obtained
Cascade Mall shooting,5,"Burlington, WA",Yes,,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",0,Rifle,http://www.nbcnews.com/news/us-news/arcan-cetin-accused-cascade-mall-shooter-charged-five-counts-murder-n654586,,,M,Other,"Arcan Cetin, 20, killed a teen girl and three women in the cosmetics section of a Macy’s department store at the Cascade Mall. A man was critically wounded in the shooting and taken to Harborview Medical Center in Seattle, where he died. Cetin was apprehended by police a few hours after the shooting while driving a car near his residence. ","['arcan', 'cetin', '20', 'killed', 'teen', 'girl', 'three', 'women', 'cosmetics', 'section', 'macy', 's', 'department', 'store', 'cascade', 'mall', 'man', 'critically', 'wounded', 'shooting', 'taken', 'harborview', 'medical', 'center', 'seattle', 'died', 'cetin', 'apprehended', 'police', 'hours', 'shooting', 'driving', 'car', 'near', 'residence', 'according', ""cetin's"", 'stepfather', 'mental', 'health', 'issues', 'court', 'records', 'showed', 'suffered', 'anxiety', 'depression']",9/23/2016,,,"According to the Cetin's stepfather he had ""mental health issues""; court records showed that he suffered from anxiety and depression. ",,http://www.nytimes.com/2016/09/25/us/mall-shooting-washington-state.html,5,2016,
Baton Rouge police shooting,6,"Baton Rouge, LA",Yes,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",3,Two semiautomatic rifles; one semiautomatic handgun,,,"IWI Tavor SAR 5.56 caliber rifle, Springfield XD 9, 9mm",M,Other,"Gavin Long, a former Marine who served in Iraq, killed three police offers responding to a 911 call, and wounded three others. He was killed in a shoot-out with other officers responding to the scene. Prior to the attack, Long posted prolifically on social media, where he expressed admiration for the cop killer in Dallas 10 days prior.","['gavin', 'long', 'former', 'marine', 'served', 'iraq', 'killed', 'three', 'police', 'offers', 'responding', '911', 'call', 'wounded', 'three', 'others', 'killed', 'shoot', 'officers', 'responding', 'scene', 'prior', 'attack', 'long', 'posted', 'prolifically', 'social', 'media', 'expressed', 'admiration', 'cop', 'killer', 'dallas', '10', 'days', 'prior', 'unclear']",7/17/2016,Black,Unknown,Unclear,,http://time.com/4411027/baton-rouge-shooter-gavin-long/ ; http://www.nytimes.com/2016/07/18/us/baton-rouge-shooting.html; http://www.kansascity.com/news/local/article90266242.html; http://www.nola.com/crime/index.ssf/2016/07/gavin_long_guns_baton_rouge_po.html; http://www.motherjones.com/politics/2016/07/copycat-mass-shooters-rising-baton-rouge-munich,3,2016,
Dallas police shooting,16,"Dallas, Texas",Unclear,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",11,"Semiautomatic rifle, semiautomatic handguns",,,"Izhmash-Saiga 5.45mm (AK-style) semiautomatic rifle with large capacity magazines; Glock 9mm handgun, .25-caliber semiautomatic handgun",M,Other,"Micah Xavier Johnson, a 25-year-old Army veteran, targeted police at a peaceful Black Lives Matter protest, killing five officers and injuring nine others as well as two civilians. After a prolonged standoff in a downtown building, law enforcement killed Johnson using a robot-delivered bomb.","['micah', 'xavier', 'johnson', '25', 'year', 'old', 'army', 'veteran', 'targeted', 'police', 'peaceful', 'black', 'lives', 'matter', 'protest', 'killing', 'five', 'officers', 'injuring', 'nine', 'others', 'well', 'two', 'civilians', 'prolonged', 'standoff', 'downtown', 'building', 'law', 'enforcement', 'killed', 'johnson', 'using', 'robot', 'delivered', 'bomb', 'unclear']",7/7/2016,Black,Yes,Unclear,,http://www.nytimes.com/2016/07/11/us/dallas-shooting-micah-johnson-police.html?_r=0; http://www.wsj.com/articles/dallas-shooter-purchased-guns-legally-official-says-1468269720,5,2016,online and or gun show
Orlando nightclub massacre,102,"Orlando, Florida",Unclear,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",53,"Semiautomatic rifle, semiautomatic handgun",,,"Sig Sauer MCX rifle, Glock 17 9mm; high-capacity magazines (30 rounds)",M,Other,"Omar Mateen, 29, attacked the Pulse nighclub in Orlando in the early morning hours of June 12. He was killed by law enforcement who raided the club after a prolonged standoff.","['omar', 'mateen', '29', 'attacked', 'pulse', 'nighclub', 'orlando', 'early', 'morning', 'hours', 'june', '12', 'killed', 'law', 'enforcement', 'raided', 'club', 'prolonged', 'standoff', 'unclear']",6/12/2016,Other,Yes,Unclear,,http://www.motherjones.com/politics/2016/06/assault-rifle-used-by-orlando-mass-shooter; http://wrbl.com/2016/06/13/orlando-police-make-statement-on-mass-shooting/; http://www.slate.com/articles/news_and_politics/crime/2016/06/the_ar_15_and_other_assault_rifles_are_bad_high_capacity_magazines_are_worse.html,49,2016,"Shooting center in Port St. Lucie, Florida"
Excel Industries mass shooting,17,"Hesston, Kansas",Unclear,Spree,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",14,"Semiautomatic rifle, semiautomatic handgun",,,"Zastava Serbia AK-47-style rifle, Glock Model 22 .40-caliber handgun; high-capacity magazines (30 rounds)",M,Workplace,"Cedric L. Ford, who worked as a painter at a manufacturing company, shot victims from his car and at his workplace before being killed by police at the scene. Shortly before the rampage he had been served with a restraining order.","['cedric', 'l', 'ford', 'worked', 'painter', 'manufacturing', 'company', 'shot', 'victims', 'car', 'workplace', 'killed', 'police', 'scene', 'shortly', 'rampage', 'served', 'restraining', 'order', 'unclear']",2/25/2016,Black,Yes,Unclear,,http://www.nytimes.com/2016/02/26/us/shooting-at-plant-hesston-kansas.html; https://www.washingtonpost.com/news/morning-mix/wp/2016/02/26/alcoholic-violent-depressed-portrait-of-kansas-shooter-emerges/; https://www.washingtonpost.com/news/post-nation/wp/2016/02/26/kansas-gunman-served-protection-from-abuse-order-shortly-before-shootings-sheriff-says/; http://heavy.com/news/2016/02/cedric-ford-hesston-kansas-shooting-shooter-facebook-video-firing-rifle-gun-field-ak47-ak-47-long-gun-photos-watch-youtube/; http://fox4kc.com/2016/02/26/kansas-woman-charged-with-providing-guns-to-hesston-shooter/,3,2016,
Kalamazoo shooting spree,8,"Kalamazoo County, Michigan",Unclear,Spree,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",2,Semiautomatic handgun,,,9 mm handgun (ammo used unclear),M,Other,"Jason B. Dalton, a driver for Uber, apparently selected his victims randomly as he went on a rampage over several hours in three different locations, including five people he shot in the parking lot of a Cracker Barrel restaurant. He was ""arrested without incident"" at a downtown Kalamazoo bar about six hours after the rampage began.","['jason', 'b', 'dalton', 'driver', 'uber', 'apparently', 'selected', 'victims', 'randomly', 'went', 'rampage', 'several', 'hours', 'three', 'different', 'locations', 'including', 'five', 'people', 'shot', 'parking', 'lot', 'cracker', 'barrel', 'restaurant', 'arrested', 'without', 'incident', 'downtown', 'kalamazoo', 'bar', 'six', 'hours', 'rampage', 'began', 'unclear']",2/20/2016,White,Yes,Unclear,,http://www.nytimes.com/2016/02/22/us/kalamazoo-michigan-random-shootings.html; http://www.mlive.com/news/kalamazoo/index.ssf/2016/02/4_things_we_know_about_kalamaz.html; http://www.mlive.com/news/kalamazoo/index.ssf/2016/02/prosecutor_mass_shooting_suspe.html#incart_river_index,6,2016,
San Bernardino mass shooting,35,"San Bernardino, California",Unclear,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",21,"Two assault rifles and two semi-automatic pistols were used in the attack. Police found a remote controlled explosive device at the scene of the crime. At the home were 12 pipe bombs, 2,500 rounds for the AR-15 variants, 2,000 rounds for the pistols, and several hundred for a .22 calibre rifle. In the suspects' car were an additional 1,400 rounds for the rifles and 200 for the handguns.",,,"Two semiautomatic AR-15-style rifles—one a DPMS A-15, the other a Smith & Wesson M&P15, both with .223 calibre ammunition. Two 9mm semiautomatic handguns. High capacity magazines.",Male & Female,"
Workplace","Syed Rizwan Farook left a Christmas party held at Inland Regional Center, later returning with Tashfeen Malik and the two opened fire, killing 14 and wounding 21, ten critically. The two were later killed by police as they fled in an SUV.","['syed', 'rizwan', 'farook', 'left', 'christmas', 'party', 'held', 'inland', 'regional', 'center', 'later', 'returning', 'tashfeen', 'malik', 'two', 'opened', 'fire', 'killing', '14', 'wounding', '21', 'ten', 'critically', 'two', 'later', 'killed', 'police', 'fled', 'suv', 'unclear']",12/2/2015,Other,"
Yes",Unclear,,http://www.motherjones.com/mojo/2015/12/san-bernardino-shooting and  http://www.cnbc.com/2015/12/03/san-bernardino-shooting-suspects-rizwan-farook-tashfeen-malik-dead.html and http://www.nytimes.com/2015/12/04/us/san-bernardino-shooting.html and http://www.nytimes.com/2015/12/04/us/weapons-in-san-bernardino-shootings-were-legally-obtained.html?_r=0,14,2015,The suspects purchased their handguns in the United States; the assault rifles were purchased by a third party.
Planned Parenthood clinic,12,"Colorado Springs, Colorado",Unclear,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",9,Long gun,,,Reportedly an AK-47 style semiautomatic rifle and others. Authorities had not released details on Dear's weapons as of April 2016.,M,Workplace,"Robert Lewis Dear, 57, shot and killed a police officer and two citizens when he opened fire at a Planned Parenthood health clinic in Colorado Springs, Colorado. Nine others were wounded. Dear was arrested after an hours-long standoff with police.","['robert', 'lewis', 'dear', '57', 'shot', 'killed', 'police', 'officer', 'two', 'citizens', 'opened', 'fire', 'planned', 'parenthood', 'health', 'clinic', 'colorado', 'springs', 'colorado', 'nine', 'others', 'wounded', 'dear', 'arrested', 'hours', 'long', 'standoff', 'police', 'judge', 'case', 'publicly', 'released', ""dear's"", 'medical', 'mental', 'health', 'records', 'april', '5', '2016', 'dear', 'undergoing', 'competency', 'evaluation', 'dear', 'history', 'disputes', 'relatives', 'neighbors', 'hearing', 'december', '2015', 'said', 'warrior', 'babies']",11/27/2015,White,Unknown,"The judge in the case has not publicly released Dear's medical and mental health records. As of April 5, 2016, Dear was undergoing a competency evaluation. Dear had a history of disputes with his relatives and neighbors. At a hearing in December 2015, he said, ""I am a warrior for the babies.""",,http://www.nytimes.com/2015/11/28/us/colorado-planned-parenthood-shooting.html and http://www.cnn.com/2015/12/09/us/colorado-planned-parenthood-shooting/ and http://www.npr.org/sections/thetwo-way/2015/11/28/457674369/planned-parenthood-shooting-police-name-suspect-procession-for-fallen-officer and http://www.cbsnews.com/news/robert-lewis-dear-planned-parenthood-first-court-appearance/ and http://www.denverpost.com/news/ci_29729326/judge-wont-release-all-records-accused-planned-parenthood and http://www.csindy.com/IndyBlog/archives/2016/02/17/judge-resists-unsealing-dear-affidavits; http://www.nbcnews.com/news/us-news/who-robert-dear-planned-parenthood-shooting-suspect-seemed-strange-not-n470896,3,2015,Unclear
Colorado Springs shooting rampage,3,"Colorado Springs, Colorado",Unclear,Spree,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",0,Two handguns and a rifle,,,"AR-15 rifle, a 9 mm pistol, and a .357 revolver ",M,Other,"Noah Harpham, 33, shot three people before dead in Colorado Springs before police killed him in a shootout.","['noah', 'harpham', '33', 'shot', 'three', 'people', 'dead', 'colorado', 'springs', 'police', 'killed', 'shootout', 'prior', 'rampage', 'harpham', 'wrote', 'incoherent', 'blog', 'rambled', 'nonsensically', 'youtube', 'video', 'mind', 'control', 'techniques', 'god', 'according', 'denver', 'post', 'history', 'drug', 'alcohol', 'abuse']",10/31/2015,White ,Yes,"Prior to the rampage, Harpham wrote an ""incoherent"" blog and rambled ""nonsensically"" in a YouTube video about mind control techniques and God, according to the Denver Post. He had a history of drug and alcohol abuse. ",,http://www.motherjones.com/mojo/2015/11/open-carry-mass-shooting-colorado-springs and http://www.denverpost.com/news/ci_29059452/colorado-springs-police-confronted-shot-gunman-minutes and http://www.cbsnews.com/news/shooter-in-colorado-springs-rampage-legally-purchased-guns/,3,2015,Unclear
Umpqua Community College shooting,18,"Roseburg, Oregon",Unclear,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",9,"Five pistols, one rifle, five magazines of ammunition",http://www.latimes.com/nation/nationnow/la-na-nn-chris-harper-mercer-oregon-shooting-20151002-htmlstory.html,,"9 mm Glock pistol, .40 caliber Smith & Wesson, .40 caliber Taurus pistol, .556 caliber Del-Ton; (ammo details unclear)",Male,School,26-year-old Chris Harper Mercer opened fire at Umpqua Community College in southwest Oregon. The gunman shot himself to death after being wounded in a shootout with police.,"['26', 'year', 'old', 'chris', 'harper', 'mercer', 'opened', 'fire', 'umpqua', 'community', 'college', 'southwest', 'oregon', 'gunman', 'shot', 'death', 'wounded', 'shootout', 'police', 'harper', ""mercer's"", 'mother', 'said', 'multiple', 'online', 'postings', ""asperger's"", 'syndrome', 'harper', 'mercer', 'graduated', 'switzer', 'learning', 'center', 'school', 'students', 'special', 'needs', 'emotional', 'difficulties', 'autism', ""asperger's"", 'syndrome']",10/1/2015,Other,Yes,"Harper-Mercer's mother said in multiple online postings that he had Asperger's syndrome. Harper-Mercer graduated from the Switzer Learning Center, a school for students with special needs, emotional difficulties, autism and Asperger's syndrome.",,http://www.nytimes.com/2015/10/03/us/chris-harper-mercer-umpqua-community-college-shooting.html; http://www.latimes.com/nation/nationnow/la-na-nn-chris-harper-mercer-oregon-shooting-20151002-htmlstory.html; http://www.huffingtonpost.com/entry/ian-mercer-father-guns_56116d7ae4b0af3706e12525; http://wate.com/2015/10/02/what-we-know-about-umpqua-community-college-shooter-2/; http://www.cnn.com/2015/10/02/us/oregon-umpqua-community-college-shooting/ ,9,2015,From the home he shared with his mother. All were legally obtained by either Harper/Mercer or family members.
Chattanooga military recruitment center,7,"Chattanooga, Tennessee",Unclear,Mass,"{""illness"": 10, ""shot"": 37, ""mental"": 26, ""people"": 16, ""dead"": 10, ""three"": 16, ""committed"": 10, ""shooting"": 14, ""suicide"": 37, ""police"": 43, ""opened"": 46, ""army"": 10, ""two"": 25, ""killed"": 28, ""health"": 17, ""suffered"": 11, ""committing"": 20, ""fire"": 50, ""psychiatric"": 10, ""killing"": 17, ""said"": 15, ""others"": 13, ""former"": 19, ""school"": 14, ""rampage"": 11, ""inside"": 13, ""later"": 19, ""arrested"": 17, ""workplace"": 10, ""history"": 12}",2,"2 assault rifles; semiautomatic handgun
",,35.047157,"AK-47, AR-15, and 30-round magazines; 9mm handgun",Male,Military,"Kuwaiti-born Mohammod Youssuf Abdulazeez, 24, a naturalized US citizen, opened fire at a Naval reserve center, and then drove to a military recruitment office where he shot and killed four Marines and a Navy service member, and wounded a police officer and another military service member. He was then fatally shot in an exchange of gunfire with law enforcement officers responding to the attack.","['kuwaiti', 'born', 'mohammod', 'youssuf', 'abdulazeez', '24', 'naturalized', 'us', 'citizen', 'opened', 'fire', 'naval', 'reserve', 'center', 'drove', 'military', 'recruitment', 'office', 'shot', 'killed', 'four', 'marines', 'navy', 'service', 'member', 'wounded', 'police', 'officer', 'another', 'military', 'service', 'member', 'fatally', 'shot', 'exchange', 'gunfire', 'law', 'enforcement', 'officers', 'responding', 'attack', 'abdulazeez', 'suffered', 'years', 'depression', 'possibly', 'bipolar', 'disorder', 'according', 'representative', 'family', 'nyt', 'july', '20', '2015']",7/16/2015,Other,"Yes (""some of the weapons were purchased legally and some of them may not have been"")","Abdulazeez ""had suffered for years from depression and possibly from bipolar disorder,"" according to a representative of the family. (NYT, July 20 2015)",-85.311819,http://www.reuters.com/article/2015/07/16/us-usa-shooting-tennessee-idUSKCN0PQ1WY20150716; http://www.nytimes.com/2015/07/18/us/chattanooga-gunmans-past-scoured-for-extremist-ties.html; http://www.wsj.com/articles/chattanooga-shooting-highlights-online-gun-sales-1437435518http://www.nytimes.com/2015/07/19/us/chattanooga-attacks-claim-a-5th-military-service-members-life.html; http://www.cnn.com/2015/07/17/us/tennessee-naval-reserve-shooting/; https://twitter.com/markfollman/status/622105627473477632; http://www.nytimes.com/2015/07/21/us/chattanooga-gunman-wrote-of-suicide-and-martyrdom-official-says.html,5,2015,"On the internet, via Armslist.com"
